,상가업소번호,상호명,상권업종소분류코드,경도,위도,시도명,시군구명,법정동명
81920,15122245,스펠바운드,Q06A07,128.620614525917,35.824492518319,대구광역시,수성구,두산동
36818,16014583,비산분식당,Q01A01,128.570796228777,35.8702383755473,대구광역시,서구,비산동
54857,16409753,투썸플레이스,Q12A01,128.478905123821,35.8534334502703,대구광역시,달서구,호산동
103456,18533106,한끼갈비월성,Q01A01,128.527626964042,35.8194926026604,대구광역시,달서구,월성동
19629,11782891,카페세티모,Q12A01,128.612960466027,35.8811799822184,대구광역시,동구,신암동
44008,16051676,이크림,Q12A01,128.559886124197,35.939087360535,대구광역시,북구,동천동
103516,18528994,피자1991,Q06A01,128.700040553278,35.8706724367833,대구광역시,동구,율하동
88980,17680471,커피파는밥집,Q12A01,128.613406739871,35.8974014308213,대구광역시,북구,산격동
54728,16477104,백이산황태국밥,Q01A05,128.562793133141,35.9317190465747,대구광역시,북구,구암동
16874,23165465,상록정,Q01A01,128.545513913373,35.8458397598297,대구광역시,달서구,성당동
86885,17513445,그래도족발보쌈,Q03A02,128.606154523814,35.8978618705629,대구광역시,북구,산격동
34052,17133623,소미식당,Q01A01,128.483969359229,35.7976746740647,대구광역시,달성군,화원읍
21925,16971325,수성동빵창고,Q08A01,128.611982304463,35.8547942787345,대구광역시,수성구,수성동1가
36011,16150600,본죽&비빔밥,Q10A01,128.59898279004,35.8383925692777,대구광역시,남구,봉덕동
19872,25668599,양포이까산오징어생우럭탕,Q03A13,128.545185918816,35.8173141468945,대구광역시,달서구,상인동
79009,19919478,반월당휴게소,Q14A03,128.594165809656,35.8663395184022,대구광역시,중구,덕산동
55598,23466264,감성돼지,Q01A02,128.70427510306,35.8311068371989,대구광역시,수성구,신매동
102475,18444697,브나다,Q12A01,128.594952967078,35.8635054695721,대구광역시,중구,남산동
85903,17450625,인생짜글이,Q01A01,128.553248474188,35.9281311100599,대구광역시,북구,구암동
40528,26014050,갈비마니,Q01A01,128.571525487351,35.8777248992891,대구광역시,서구,비산동
92454,17812384,커피지긴Day요가도,Q12A01,128.561329209325,35.8295340011501,대구광역시,남구,대명동
42216,22919552,초림불고기마당식당,Q01A01,128.553068404428,35.8863378004947,대구광역시,서구,비산동
34870,20090606,가람식당,Q01A01,128.59312568049,35.8723835163883,대구광역시,중구,포정동
